,step,ndofs,min_cond,solve_time,iterations,reason,norm_A,max_b
0,0,87639,1,1.6900000000000002,12,3,725.2252720126369,1.712716361306123e-07
1,1,87639,1,3.5100000000000002,13,3,1380.7473751946468,2.2667248888483293e-07
2,2,87639,1,5.32,13,3,1899.2407349068496,3.044045146139931e-07
3,3,87639,1,7.140000000000001,13,3,2228.3309428077005,4.035939010783951e-07
4,4,87639,1,8.96,13,3,2337.05302485361,4.417249706289967e-07
5,5,87639,1,10.790000000000001,13,3,2217.8680274493345,4.696428500189546e-07
6,6,87639,1,12.620000000000001,13,3,1884.8470829749567,4.053555559610671e-07
